Major_code,Major,Major_category,Grad_total,Grad_employed,Grad_unemployed
5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,90232,66748,1881
6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,152238,124688,3174
2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,46826,31558,1436
5200,PSYCHOLOGY,Psychology & Social Work,1184158,915341,35718
1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,84409,65878,3091
5000,PHYSICAL SCIENCES,Physical Sciences,7979,5292,208
5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,11739,8657,237
2405,CHEMICAL ENGINEERING,Engineering,168136,124544,4997
2401,AEROSPACE ENGINEERING,Engineering,58511,42632,1225
6402,HISTORY,Humanities & Liberal Arts,645414,454797,18445
5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science,14077,10916,551
3701,APPLIED MATHEMATICS,Computers & Mathematics,17075,14113,416
3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,21973,16979,751
2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,215376,145043,5820
2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,119073,68997,2263
3700,MATHEMATICS,Computers & Mathematics,418056,287467,11245
5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science,695725,548199,22134
5505,INTERNATIONAL RELATIONS,Social Science,69355,54693,2594
2410,ENVIRONMENTAL ENGINEERING,Engineering,11722,9387,450
3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,27744,22488,597
5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,32107,24652,777
2415,METALLURGICAL ENGINEERING,Engineering,13656,9299,218
2309,SECONDARY TEACHER EDUCATION,Education,239928,128469,2929
5005,GEOSCIENCES,Physical Sciences,9006,7443,134
6403,UNITED STATES HISTORY,Humanities & Liberal Arts,18877,12217,327
2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,21377,15822,472
4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,5982,5032,239
2313,LANGUAGE AND DRAMA EDUCATION,Education,199901,122260,3921
2418,NUCLEAR ENGINEERING,Engineering,10520,8567,100
5402,PUBLIC POLICY,Law & Public Policy,15284,12875,415
2305,MATHEMATICS TEACHER EDUCATION,Education,80826,51750,748
2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,69301,42043,954
3606,MICROBIOLOGY,Biology & Life Science,83816,66240,2201
4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,250420,182113,7369
2310,SPECIAL NEEDS EDUCATION,Education,192495,144858,3329
3602,BOTANY,Biology & Life Science,19960,13071,449
3600,BIOLOGY,Biology & Life Science,1085977,898342,19368
5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,6331,5480,112
5003,CHEMISTRY,Physical Sciences,464784,336838,10411
3608,PHYSIOLOGY,Biology & Life Science,59363,50450,1078
2404,BIOMEDICAL ENGINEERING,Engineering,22155,19474,366
3501,LIBRARY SCIENCE,Education,28963,15651,483
3603,MOLECULAR BIOLOGY,Biology & Life Science,37872,32729,950
3607,PHARMACOLOGY,Biology & Life Science,8853,7571,188
3609,ZOOLOGY,Biology & Life Science,106415,80607,1723
5007,PHYSICS,Physical Sciences,227722,168583,6189
3611,NEUROSCIENCE,Biology & Life Science,14429,12551,225
5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,28941,18993,499
3601,BIOCHEMICAL SCIENCES,Biology & Life Science,128892,109944,2728
3605,GENETICS,Biology & Life Science,12106,10450,207
5008,MATERIALS SCIENCE,Engineering,14184,12263,273
6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,182108,145102,2103
5203,COUNSELING PSYCHOLOGY,Psychology & Social Work,51812,38468,1420
5202,CLINICAL PSYCHOLOGY,Psychology & Social Work,22716,16612,782
6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,114971,78132,1732
2303,SCHOOL STUDENT COUNSELING,Education,19841,11313,613
2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,54159,34142,582
